               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.011641,           0.0036821,            0.030388,             0.33281,                   1,             0.35871,             0.35871,           0.0012956,           0.0022416,            0.011508,             0.00712,             0.00712,             0.00712
                  38,            0.014845,           0.0037167,            0.032377,              0.3328,                   1,             0.35392,             0.35392,           0.0019575,           0.0021208,            0.011474,             0.00704,             0.00704,             0.00704
                  39,            0.010529,           0.0037169,            0.029183,             0.33283,                   1,             0.37304,             0.35645,           0.0021779,           0.0015316,            0.011481,             0.00696,             0.00696,             0.00696
                  40,            0.010276,           0.0036443,            0.029967,             0.33277,                   1,             0.36035,             0.36035,           0.0012441,           0.0010007,            0.011415,             0.00688,             0.00688,             0.00688
                  41,           0.0088847,           0.0034992,            0.030161,             0.33279,                   1,             0.36427,             0.36427,           0.0016193,           0.0017485,            0.011415,              0.0068,              0.0068,              0.0068
                  42,           0.0089998,           0.0033516,            0.029757,             0.33333,                   1,             0.36426,             0.32784,           0.0031564,           0.0019617,            0.011422,             0.00672,             0.00672,             0.00672
                  43,           0.0091372,           0.0034581,            0.028814,             0.33286,                   1,             0.36702,             0.36702,           0.0011693,           0.0021295,            0.011432,             0.00664,             0.00664,             0.00664
                  44,           0.0082149,           0.0033657,            0.028961,             0.33333,                   1,             0.37202,             0.37202,           0.0020078,           0.0019016,            0.011433,             0.00656,             0.00656,             0.00656
                  45,            0.010045,           0.0035222,            0.031614,             0.33307,                   1,             0.36211,             0.36211,           0.0012309,           0.0019846,            0.011462,             0.00648,             0.00648,             0.00648
                  46,           0.0091581,           0.0033756,            0.031202,              0.3329,                   1,             0.35062,             0.35062,           0.0016354,           0.0015965,            0.011473,              0.0064,              0.0064,              0.0064
